Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C13, C14, C15, C18, C19, C20, C21, C22, C23, C25, C27, C28, C29, C30, C8, C9",0603,17,0.1UF,
"C11, C16, C5, C6, C7",0805,5,10UF,
Q1,SOT-363,1,2N7002DW,
"R1, R2, R8, R9",0603,4,2.0K,
R11,0603,1,510 Ohm,
"R12, R13",0603,2,510,
"R3, R4",0603,2,47K,
R5,0603,1,2.2K,
R6,0603,1,10k,
R7,0603,1,51 OHM,
U2,SSOP-24_3.9x8.7mm_P0.635mm,1,Si4735-D60-GU,
U3,DW20,1,SN74ACT244DWR,
U4,QFN20_4X4_SKY,1,SI5351C-B-GM,
Y1,XTAL_ASTX-H11-25.000MHZ-T,1,ASTXMH11-25.000MHZ-T,
