Designator,Mid X,Mid Y,Rotation,Layer
C10,75.99,50.235,90.0,top
C11,66.54,51.215,270.0,top
C13,57.14,61.755,90.0,top
C14,57.14,66.225,90.0,top
C15,92.91,10.57,90.0,top
C16,25.93,54.48,270.0,top
C18,22.39,54.39,270.0,top
C19,76.29,6.015,90.0,top
C20,75.86,29.595,270.0,top
C21,25.19,45.265,90.0,top
C22,69.58,34.125,90.0,top
C23,72.88,38.305,270.0,top
C25,33.48,31.245,90.0,top
C27,9.51,50.425,270.0,top
C28,25.19,48.715,90.0,top
C29,20.79,51.465,270.0,top
C30,31.03,36.005,270.0,top
C5,66.5,33.838,270.0,top
C6,61.42,46.03,270.0,top
C7,66.5,46.03,270.0,top
C8,71.57,59.085,90.0,top
C9,73.69,59.085,90.0,top
Q1,75.19,35.02,180.0,top
R1,69.07,54.905,270.0,top
R11,57.59,15.69,270.0,top
R12,64.468,22.279,270.0,top
R13,68.1,19.485,90.0,top
R2,61.35,59.855,90.0,top
R3,61.42,51.489,270.0,top
R4,61.42,40.567,90.0,top
R5,61.42,34.09,90.0,top
R6,66.5,40.495,270.0,top
R7,74.51,40.325,270.0,top
R8,33.0,27.115,90.0,top
R9,34.98,27.135,90.0,top
U2,69.9925,64.76,180.0,top
U3,22.8037,29.495,0.0,top
U4,21.544828,47.1577,0.0,top
Y1,10.64,46.79,90.0,top
